DATA_LANCAMENTO_OBRA;TITULO_ORIGINAL;CPB_ROE;TIPO_OBRA;PAIS_OBRA;PUBLICO_TOTAL;RENDA_TOTAL;RAZAO_SOCIAL_DISTRIBUIDORA;REGISTRO_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA
07/01/2016;THE HATEFUL EIGHT;E1500857700000;FICÇÃO;ESTADOS UNIDOS;718811;R$ 11.371.474,64;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;22724;17.095.184/0001-13
07/01/2016;VAI QUE DÁ CERTO 2;B1500870400000;FICÇÃO;BRASIL;923426;R$ 12.022.063,96;WMIX DISTRIBUIDORA LTDA.;1935;03.918.609/0001-32
02/01/2016;KUMA;E1500918500000;FICÇÃO;FRANÇA;10169;R$ 121.458,05;BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP;19243;39.079.678/0001-47
31/12/2015;EISENSTEIN IN GUANAJUATO;E1500850600000;FICÇÃO;BÉLGICA;3981;R$ 54.067,65;ESFERA PRODUÇÕES CULTURAIS EIRELI;18039;11.579.388/0001-43
31/12/2015;LA MARCHE;E1500904100000;FICÇÃO;FRANÇA;539;R$ 7.358,08;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
24/12/2015;ALVIN AND THE CHIPMUNKS: THE ROAD CHIP;E1500813800000;ANIMAÇÃO;ESTADOS UNIDOS;3415118;R$ 38.818.305,38;FOX FILM DO BRASIL LTDA;256;33.110.420/0001-80
24/12/2015;ATÉ QUE A SORTE NOS SEPARE 3;B1500904200000;FICÇÃO;BRASIL;3335670;R$ 42.263.286,12;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
24/12/2015;JAG ÄR INGRID;E1500825600000;DOCUMENTÁRIO;SUÉCIA;13511;R$ 173.504,97;ZETA FILMES LTDA;22936;02.469.679/0001-98
24/12/2015;MACBETH;E1500846400000;FICÇÃO;FRANÇA;51573;R$ 872.776,72;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;22724;17.095.184/0001-13
24/12/2015;MISS YOU ALREADY;E1500725100000;FICÇÃO;REINO UNIDO;28344;R$ 449.428,65;WMIX DISTRIBUIDORA LTDA.;1935;03.918.609/0001-32
24/12/2015;SUFFRAGETTE;E1500717600000;FICÇÃO;ESTADOS UNIDOS;124008;R$ 1.903.131,73;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98
24/12/2015;THE LITTLE DEATH;E1500901000000;FICÇÃO;AUSTRÁLIA;2588;R$ 40.162,24;ANTONIO FERNANDES FILMES LTDA;532;02.668.665/0001-01
24/12/2015;VICTORIA;E1500636900000;FICÇÃO;ALEMANHA;3525;R$ 46.170,48;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
17/12/2015;A GIRL WALKS HOME ALONE AT NIGHT;E1500708200000;FICÇÃO;ESTADOS UNIDOS;1492;R$ 22.375,56;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
17/12/2015;HYSTERIA;B1301730400000;DOCUMENTÁRIO;BRASIL;675;R$ 4.701,00;RAIZ DISTRIBUIDORA AUDIOVISUAL LTDA.;11792;08.331.280/0001-22
17/12/2015;IM LABYRINTH DES SCHWEIGENS;E1500772800000;FICÇÃO;ALEMANHA;33589;R$ 466.498,16;MARES FILMES EIRELI;6418;07.257.887/0001-47
17/12/2015;LA TIERRA Y LA SOMBRA;E1500809900000;FICÇÃO;COLÔMBIA;3341;R$ 38.855,87;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;12443;08.656.129/0001-64
17/12/2015;MEMÓRIAS DA BOCA;B1402250900000;DOCUMENTÁRIO;BRASIL;243;R$ 3.301,00;CUMAMUE CINEMA EIRELI - EPP;23256;17.214.316/0001-89
17/12/2015;MIA MADRE;E1500753000000;FICÇÃO;ITÁLIA;17632;R$ 249.729,94;ANTONIO FERNANDES FILMES LTDA;532;02.668.665/0001-01
17/12/2015;STAR WARS: EPISODE VII - THE FORCE AWAKENS;E1500738500000;FICÇÃO;ESTADOS UNIDOS;6725851;R$ 110.610.409,00;THE WALT DISNEY COMPANY (BRASIL) LTDA.;18398;73.042.962/0001-87
10/12/2015;ATÉ QUE A CASA CAIA;B1402219600000;FICÇÃO;BRASIL;1347;R$ 13.902,03;CINEMATOGRÁFICA POLIFILMES LTDA-ME;2550;60.469.871/0001-80
10/12/2015;BURNT;E1500732900000;FICÇÃO;ESTADOS UNIDOS;358566;R$ 5.490.709,56;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
10/12/2015;EL CLAN;E1500796900000;FICÇÃO;ARGENTINA;103295;R$ 1.653.222,20;FOX FILM DO BRASIL LTDA;256;33.110.420/0001-80
10/12/2015;EM TRÊS ATOS;B1500818400000;FICÇÃO;BRASIL;2096;R$ 30.777,17;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;11868;08.346.733/0001-94
10/12/2015;NORTE, HANGGANAN NG KASAYSAYAN;E1402763600000;FICÇÃO;FILIPINAS;793;R$ 7.523,63;OMF SERVICOS & CONSULTORIA LTDA;28508;21.437.756/0001-72
10/12/2015;ORAÇÃO DO AMOR SELVAGEM;B1500868700000;FICÇÃO;BRASIL;1601;R$ 18.044,24;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;12443;08.656.129/0001-64
10/12/2015;OSVALDÃO;B1500823700000;DOCUMENTÁRIO;BRASIL;442;R$ 6.209,72;FUNDAÇÃO MAURICIO GRABOIS;22073;09.512.009/0001-56
10/12/2015;SECRET IN THEIR EYES;E1500626200000;FICÇÃO;ESTADOS UNIDOS;213688;R$ 3.037.475,90;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;22724;17.095.184/0001-13
10/12/2015;TOMIE OHTAKE;B1500855000000;DOCUMENTÁRIO;BRASIL;363;R$ 4.432,00;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;1125;61.914.891/0001-86
05/12/2015;THE SHINING;E1402825800000;FICÇÃO;ESTADOS UNIDOS;3956;R$ 34.483,50;CINEMARK BRASIL S.A;1843;00.779.721/0001-41
05/12/2015;THE SHINING;E1402825800000;FICÇÃO;ESTADOS UNIDOS;3691;R$ 33.943,50;F. J. CINES LTDA;310;61.574.109/0001-27
05/12/2015;THE SHINING;E1402825800000;FICÇÃO;ESTADOS UNIDOS;8133;R$ 105.459,23;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
03/12/2015;AN;E1500752800000;FICÇÃO;JAPÃO;15444;R$ 213.654,56;ANTONIO FERNANDES FILMES LTDA;532;02.668.665/0001-01
03/12/2015;APRENDI A JOGAR COM VOCÊ;B1402089600000;DOCUMENTÁRIO;BRASIL;49;R$ 704,00;NOSSA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA.;20772;14.589.221/0001-51
03/12/2015;BEM CASADOS;B1500840400000;FICÇÃO;BRASIL;545829;R$ 6.940.418,06;WMIX DISTRIBUIDORA LTDA.;1935;03.918.609/0001-32
03/12/2015;BY THE SEA;E1500720000000;FICÇÃO;ESTADOS UNIDOS;27463;R$ 469.862,52;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98
03/12/2015;CALIFÓRNIA;B1500340300000;FICÇÃO;BRASIL;13849;R$ 192.329,74;VITRINE FILMES LTDA;16713;11.620.976/0001-83
03/12/2015;CINCO VEZES CHICO O VELHO E SUA GENTE;B1500723200000;DOCUMENTÁRIO;BRASIL;1149;R$ 11.667,67;LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA;22808;05.249.852/0001-30
03/12/2015;IN THE HEART OF THE SEA;E1402739400000;FICÇÃO;ESTADOS UNIDOS;1031551;R$ 15.740.394,00;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
03/12/2015;LES DEUX AMIS;E1500836300000;FICÇÃO;FRANÇA;9275;R$ 134.638,28;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
03/12/2015;LOVE THE COOPERS;E1500751300000;FICÇÃO;ESTADOS UNIDOS;67662;R$ 856.922,17;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
03/12/2015;MARSHLAND;E1500734800000;FICÇÃO;ESPANHA;3943;R$ 52.556,61;RJ DISTRIBUIDORA DE FILMES LTDA;5963;00.146.442/0001-40
03/12/2015;O FIM E OS MEIOS;B1301987400000;FICÇÃO;BRASIL;1049;R$ 9.774,93;NOSSA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA.;20772;14.589.221/0001-51
03/12/2015;PAPA OU MAMAN;E1500736500000;FICÇÃO;FRANÇA;1310;R$ 14.800,92;TUCUMÁN DISTRIBUIDORA DE FILMES LTDA;16132;10.681.698/0001-01
03/12/2015;PASSARINHO LÁ DE NOVA IORQUE;B1402089400000;DOCUMENTÁRIO;BRASIL;60;R$ 637,25;NOSSA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA.;20772;14.589.221/0001-51
03/12/2015;RATATOUILLE;E1500365600000;ANIMAÇÃO;ESTADOS UNIDOS;413;R$ 3.057,00;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98
03/12/2015;RATATOUILLE;E1500365600000;ANIMAÇÃO;ESTADOS UNIDOS;1714;R$ 13.915,00;THE WALT DISNEY COMPANY (BRASIL) LTDA.;18398;73.042.962/0001-87
03/12/2015;THE GIFT;E1500817500000;FICÇÃO;ESTADOS UNIDOS;89650;R$ 1.144.239,30;PLAYARTE PICTURES ENTRETENIMENTOS LTDA.;443;00.943.231/0001-39
03/12/2015;THE SMELL OF US;E1500748700000;FICÇÃO;FRANÇA;5606;R$ 69.099,86;ZETA FILMES LTDA;22936;02.469.679/0001-98
03/12/2015;TUDO QUE APRENDEMOS JUNTOS;B1500150200000;FICÇÃO;BRASIL;25816;R$ 303.608,00;FOX FILM DO BRASIL LTDA;256;33.110.420/0001-80
03/12/2015;WAR ROOM;E1500743300000;FICÇÃO;ESTADOS UNIDOS;595161;R$ 7.957.330,66;CANZION DO BRASIL LTDA;31096;18.659.925/0001-04
26/11/2015;AMERICAN ULTRA;E1500617000000;FICÇÃO;ESTADOS UNIDOS;10877;R$ 136.904,21;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
26/11/2015;ATRAVÉS;B1500801000000;FICÇÃO;BRASIL;505;R$ 5.949,00;ESTRANGEIRA FILMES LTDA;21082;11.407.304/0001-94
26/11/2015;AUSÊNCIA;B1500276200000;FICÇÃO;CHILE;4030;R$ 53.501,93;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;11868;08.346.733/0001-94
26/11/2015;CHICO - ARTISTA BRASILEIRO;B1500777500000;DOCUMENTÁRIO;BRASIL;126908;R$ 1.911.070,80;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98
26/11/2015;IVÁN -  DE VOLTA PARA O PASSADO;B1201663300000;DOCUMENTÁRIO;BRASIL;2440;R$ 27.877,41;MORO COMUNICACAO LTDA;5224;03.827.382/0001-10
26/11/2015;JOURNEY TO THE SHORE;E1500752700000;FICÇÃO;JAPÃO;4641;R$ 70.674,64;ANTONIO FERNANDES FILMES LTDA;532;02.668.665/0001-01
26/11/2015;SMULTRONSTÄLLET;E1800119500000;FICÇÃO;SUÉCIA;494;R$ 7.072,85;F. J. CINES LTDA;310;61.574.109/0001-27
26/11/2015;THE VISIT;E1500485700000;FICÇÃO;ESTADOS UNIDOS;209479;R$ 2.531.958,70;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98
26/11/2015;TROIS SOUVENIRS DE MA JEUNESSE;E1500772600000;FICÇÃO;FRANÇA;6027;R$ 77.822,42;MARES FILMES EIRELI;6418;07.257.887/0001-47
26/11/2015;VICTOR FRANKENSTEIN;E1500821400000;FICÇÃO;ESTADOS UNIDOS;678764;R$ 8.473.819,13;FOX FILM DO BRASIL LTDA;256;33.110.420/0001-80
26/11/2015;ÍDOLO;B1500585700000;DOCUMENTÁRIO;BRASIL;606;R$ 7.543,39;NOSSA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA.;20772;14.589.221/0001-51
19/11/2015;AWAKE - THE LIFE OF  YOGANANDA;E1500772500000;DOCUMENTÁRIO;ESTADOS UNIDOS;46507;R$ 680.581,06;CIRCUITO CINEARTE LTDA;1083;01.425.583/0001-65
19/11/2015;CHATÔ - O REI DO BRASIL;B1001208900000;FICÇÃO;BRASIL;67061;R$ 1.001.282,58;CHATO LTDA;21106;02.854.498/0001-85
19/11/2015;HE NAMED ME MALALA;E1500814300000;DOCUMENTÁRIO;ESTADOS UNIDOS;15022;R$ 221.621,47;FOX FILM DO BRASIL LTDA;256;33.110.420/0001-80
19/11/2015;MISTRESS AMERICA;E1500741300000;FICÇÃO;ESTADOS UNIDOS;18062;R$ 275.768,33;VITRINE FILMES LTDA;16713;11.620.976/0001-83
19/11/2015;NINGUÉM AMA NINGUÉM...POR MAIS DE DOIS ANOS;B1500543700000;FICÇÃO;BRASIL;11833;R$ 155.169,99;CANNES PRODUÇÕES S/A;2250;72.672.017/0001-04
19/11/2015;PAPELES EN EL VIENTO;E1500798400000;FICÇÃO;ARGENTINA;2957;R$ 37.391,00;LANCA DISTRIBUIDORA DE FILMES LTDA;25115;18.384.267/0001-95
19/11/2015;PAUÊ - O PASSO DE UM VENCEDOR;B1301942700000;DOCUMENTÁRIO;BRASIL;338;R$ 2.018,00;RAIZ DISTRIBUIDORA AUDIOVISUAL LTDA.;11792;08.331.280/0001-22
19/11/2015;PIADEIROS;B1500689300000;DOCUMENTÁRIO;BRASIL;687;R$ 8.608,79;CIRCUITO CINEARTE LTDA;1083;01.425.583/0001-65
19/11/2015;SIMINDIS KUNDZULI;E1500742700000;FICÇÃO;ALEMANHA;3286;R$ 41.102,78;ZETA FILMES LTDA;22936;02.469.679/0001-98
19/11/2015;TAXI;E1500829300000;FICÇÃO;IRÃ;13875;R$ 201.821,47;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
19/11/2015;THE HUNGER GAMES: MOCKINGJAY - PART 2;E1500672400000;FICÇÃO;ESTADOS UNIDOS;4418006;R$ 63.920.504,03;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
19/11/2015;TOY STORY 2;E1402545000000;ANIMAÇÃO;ESTADOS UNIDOS;162034;R$ 2.225.107,75;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98
19/11/2015;TOY STORY 2;E1402545000000;ANIMAÇÃO;ESTADOS UNIDOS;2517;R$ 22.515,00;THE WALT DISNEY COMPANY (BRASIL) LTDA.;18398;73.042.962/0001-87
19/11/2015;WHEN MARNIE WAS THERE;E1500800700000;ANIMAÇÃO;JAPÃO;2188;R$ 31.740,31;ANTONIO FERNANDES FILMES LTDA;532;02.668.665/0001-01
18/11/2015;OS TUBARÕES DE COPACABANA;B1402108000000;FICÇÃO;BRASIL;58;R$ 766,30;INTERNACIONAL - PRODUÇÕES DE CINEMA E VÍDEO LTDA;4758;04.964.663/0001-87
14/11/2015;THE SOUND OF MUSIC;E1500702000000;FICÇÃO;ESTADOS UNIDOS;3951;R$ 34.466,00;FOX FILM DO BRASIL LTDA;256;33.110.420/0001-80
12/11/2015;#GAROTAS;B1500311000000;FICÇÃO;BRASIL;969;R$ 13.780,08;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
12/11/2015;AS MIL E UMA NOITES: VOLUME 1, O INQUIETO;E1500806100000;FICÇÃO;FRANÇA;4085;R$ 54.505,24;TUCUMÁN DISTRIBUIDORA DE FILMES LTDA;16132;10.681.698/0001-01
12/11/2015;BLACK MASS;E1500584000000;FICÇÃO;ESTADOS UNIDOS;216914;R$ 3.528.222,00;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
12/11/2015;CAMINHO DE VOLTA.;B1500315900000;DOCUMENTÁRIO;BRASIL;809;R$ 8.280,50;VILACINE SERVIÇOS CINEMATOGRÁFICOS S.A.;18499;11.276.047/0001-07
12/11/2015;CONDADO MACABRO;B1500399800000;FICÇÃO;BRASIL;523;R$ 6.695,92;ENCRIPTA S/A;22364;15.182.829/0001-20
12/11/2015;DOCUMENTÁRIO SAMBA & JAZZ: RIO DE JANEIRO - NEW ORLEANS;B1500740900000;DOCUMENTÁRIO;BRASIL;1809;R$ 21.657,66;JEFF & SPORTS MARKETING E COMUNICAÇÃO;23364;06.935.870/0001-39
12/11/2015;HIPPOCRATE;E1500708900000;FICÇÃO;FRANÇA;4322;R$ 58.413,04;CIRCUITO CINEARTE LTDA;1083;01.425.583/0001-65
12/11/2015;IL CAPITALE UMANO;E1402765300000;FICÇÃO;ITÁLIA;10260;R$ 158.168,19;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
12/11/2015;OS MAIAS (ALGUNS) EPISÓDIOS DA VIDA ROMÂNTICA;B1402275800000;FICÇÃO;BRASIL;2319;R$ 24.888,74;LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA;22808;05.249.852/0001-30
12/11/2015;SCOUTS GUIDE TO THE ZOMBIE APOCALYPSE;E1500662700000;FICÇÃO;ESTADOS UNIDOS;395012;R$ 4.834.718,00;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;169;27.654.722/0001-16
12/11/2015;SE DEUS VIER QUE VENHA ARMADO;B1402133100000;FICÇÃO;BRASIL;1703;R$ 21.221,91;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;12443;08.656.129/0001-64
12/11/2015;SNOW QUEEN 2;E1500729900000;ANIMAÇÃO;RÚSSIA;400472;R$ 5.032.781,61;ANTONIO FERNANDES FILMES LTDA;532;02.668.665/0001-01
12/11/2015;TWO MEN IN TOWN;E1500700500000;FICÇÃO;ARGÉLIA;405;R$ 4.770,65;TUCUMÁN DISTRIBUIDORA DE FILMES LTDA;16132;10.681.698/0001-01
12/11/2015;UNFRIENDED;E1500716200000;FICÇÃO;ESTADOS UNIDOS;45630;R$ 594.251,61;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98
12/11/2015;ÓRFÃOS DO ELDORADO;B1500672000000;FICÇÃO;BRASIL;3392;R$ 41.791,06;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;4904;07.616.202/0001-01
07/11/2015;THE SHAWSHANK REDEMPTION;E1500165300000;FICÇÃO;ESTADOS UNIDOS;1476;R$ 13.224,50;CINEMARK BRASIL S.A;1843;00.779.721/0001-41
07/11/2015;THE SHAWSHANK REDEMPTION;E1500165300000;FICÇÃO;ESTADOS UNIDOS;70;R$ 1.755,00;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
05/11/2015;5 FLIGHTS UP;E1500650300000;FICÇÃO;ESTADOS UNIDOS;21847;R$ 320.683,10;MARES FILMES EIRELI;6418;07.257.887/0001-47
05/11/2015;A FLORESTA QUE SE MOVE;B1500591500000;FICÇÃO;BRASIL;8581;R$ 110.064,97;UNIFILMES DISTRIBUIDORA, IMPORTADORA E EXPORTADORA DE FILMES LTDA;17810;12.452.477/0001-97
05/11/2015;BEIRA-MAR;B1402710300000;FICÇÃO;BRASIL;11211;R$ 142.014,04;VITRINE FILMES LTDA;16713;11.620.976/0001-83
05/11/2015;CIDADE DE DEUS, 10 ANOS DEPOIS;B1402144800000;DOCUMENTÁRIO;BRASIL;3633;R$ 31.770,34;LIVRES DISTRIBUIDORA DE AUDIVISUAL LTDA ME;21870;15.263.576/0001-19
05/11/2015;DEPOIS DE TUDO;B1500344400000;FICÇÃO;BRASIL;21768;R$ 282.661,93;WMIX DISTRIBUIDORA LTDA.;1935;03.918.609/0001-32
05/11/2015;LA BANDA PICASSO;E1500709000000;FICÇÃO;ESPANHA;5408;R$ 70.240,19;ESFERA PRODUÇÕES CULTURAIS EIRELI;18039;11.579.388/0001-43
05/11/2015;OLMO AND THE SEAGULL;E1500689000000;DOCUMENTÁRIO;BRASIL;34403;R$ 446.518,64;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;12443;08.656.129/0001-64
05/11/2015;PASOLINI;E1500636800000;FICÇÃO;BÉLGICA;6442;R$ 91.492,40;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
05/11/2015;SPECTRE;E1500485800000;FICÇÃO;ESTADOS UNIDOS;2101350;R$ 31.089.863,14;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98
01/11/2015;ANDRE RIEU'S 2015 MAASTRICHT CONCERT;E1500702700000;VÍDEOMUSICAL;INGLATERRA;3108;R$ 103.979,00;CINEMARK BRASIL S.A;1843;00.779.721/0001-41
29/10/2015;45 YEARS;E1500640300000;FICÇÃO;REINO UNIDO;39854;R$ 569.342,32;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
29/10/2015;BETINHO-A ESPERANÇA EQUILIBRISTA;B1500712100000;DOCUMENTÁRIO;BRASIL;2137;R$ 32.740,33;ELO AUDIOVISUAL SERVIÇOS LTDA;5672;07.700.630/0001-18
29/10/2015;BETINHO-A ESPERANÇA EQUILIBRISTA;B1500712100000;DOCUMENTÁRIO;BRASIL;15;R$ 30,00;TRES TEMPOS FILMES LTDA;335;00.360.459/0001-04
29/10/2015;DHEEPAN;E1500752900000;FICÇÃO;FRANÇA;11816;R$ 166.172,08;ANTONIO FERNANDES FILMES LTDA;532;02.668.665/0001-01
29/10/2015;GRACE OF MONACO;E1500656800000;FICÇÃO;FRANÇA;91978;R$ 1.592.314,43;PLAYARTE PICTURES ENTRETENIMENTOS LTDA.;443;00.943.231/0001-39
29/10/2015;MAMMA ROMA;E1500751500000;FICÇÃO;ITÁLIA;2566;R$ 33.054,25;F. J. CINES LTDA;310;61.574.109/0001-27
29/10/2015;O ÚLTIMO POEMA;B1500768500000;DOCUMENTÁRIO;BRASIL;1626;R$ 15.423,68;LANCA DISTRIBUIDORA DE FILMES LTDA;25115;18.384.267/0001-95
29/10/2015;SIN HIJOS;E1500740600000;FICÇÃO;ARGENTINA;12185;R$ 173.753,23;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
29/10/2015;STRAIGHT OUTTA COMPTON;E1500674900000;FICÇÃO;ESTADOS UNIDOS;22736;R$ 356.032,79;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98
29/10/2015;THE 33;E1500617800000;FICÇÃO;ESTADOS UNIDOS;61569;R$ 1.048.241,00;FOX FILM DO BRASIL LTDA;256;33.110.420/0001-80
29/10/2015;THE LAST WITCH HUNTER;E1500672300000;FICÇÃO;ESTADOS UNIDOS;2661882;R$ 34.504.656,56;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
24/10/2015;JAWS;E1402577300000;FICÇÃO;ESTADOS UNIDOS;1328;R$ 12.194,50;CINEMARK BRASIL S.A;1843;00.779.721/0001-41
24/10/2015;JAWS;E1402577300000;FICÇÃO;ESTADOS UNIDOS;461;R$ 3.303,52;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;33787;24.810.280/0001-61
22/10/2015;ACCUSED (LUCIA DE B.);E1500620700000;FICÇÃO;HOLANDA;5145;R$ 69.538,55;CANNES PRODUÇÕES S/A;2250;72.672.017/0001-04
22/10/2015;BRIDGE OF SPIES;E1500617600000;FICÇÃO;ESTADOS UNIDOS;425026;R$ 7.146.668,15;FOX FILM DO BRASIL LTDA;256;33.110.420/0001-80
22/10/2015;CARS;E1500588000000;ANIMAÇÃO;ESTADOS UNIDOS;8;R$ 40,00;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98
22/10/2015;CARS;E1500588000000;ANIMAÇÃO;ESTADOS UNIDOS;2248;R$ 20.424,00;THE WALT DISNEY COMPANY (BRASIL) LTDA.;18398;73.042.962/0001-87
22/10/2015;CIRCO VOADOR - A NAVE;B1500743500000;DOCUMENTÁRIO;BRASIL;948;R$ 12.223,50;ARTE VITAL EXIBIÇÕES CINEMATOGRÁFICAS LTDA;14200;03.459.043/0001-28
22/10/2015;COMET;E1500558300000;FICÇÃO;ESTADOS UNIDOS;3205;R$ 50.541,34;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
22/10/2015;ED SHEERAN - JUMPERS FOR GOALPOSTS;E1500697000000;VÍDEOMUSICAL;ESTADOS UNIDOS;5849;R$ 128.683,50;CINEMARK BRASIL S.A;1843;00.779.721/0001-41
22/10/2015;GOOSEBUMPS;E1500485600000;FICÇÃO;ESTADOS UNIDOS;522354;R$ 7.166.419,95;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98
22/10/2015;PARANORMAL ACTIVITY: THE GHOST DIMENSION;E1500662800000;FICÇÃO;ESTADOS UNIDOS;1388210;R$ 20.610.193,00;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;169;27.654.722/0001-16
22/10/2015;S.O.S. MULHERES AO MAR 2;B1500778300000;FICÇÃO;BRASIL;1638272;R$ 21.119.066,91;CANNES PRODUÇÕES S/A;2250;72.672.017/0001-04
22/10/2015;SICARIO;E1500490400000;FICÇÃO;ESTADOS UNIDOS;50584;R$ 866.251,30;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
22/10/2015;SPEAK NO EVIL;E1500477800000;FICÇÃO;ESTADOS UNIDOS;43;R$ 343,00;ENCRIPTA S/A;22364;15.182.829/0001-20
17/10/2015;THE MATRIX;E1500096600000;FICÇÃO;AUSTRÁLIA;2547;R$ 22.459,50;CINEMARK BRASIL S.A;1843;00.779.721/0001-41
17/10/2015;THE MATRIX;E1500096600000;FICÇÃO;AUSTRÁLIA;32831;R$ 563.397,44;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
15/10/2015;CRIMSON PEAK;E1500485900000;FICÇÃO;ESTADOS UNIDOS;265810;R$ 3.807.270,84;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98
15/10/2015;HEAVEN KNOWS WHAT;E1500640200000;FICÇÃO;ESTADOS UNIDOS;522;R$ 9.168,55;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
15/10/2015;OPERAÇÕES ESPECIAIS (EX BOLETIM DE OCORRÊNCIA B.O);B1500701300000;FICÇÃO;BRASIL;348322;R$ 4.392.871,68;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
15/10/2015;PARCEIRAS ETERNAS;E1500398700000;FICÇÃO;ESTADOS UNIDOS;845;R$ 11.519,01;RJ DISTRIBUIDORA DE FILMES LTDA;5963;00.146.442/0001-40
15/10/2015;SHE'S FUNNY THAT WAY;E1500268600000;FICÇÃO;ESTADOS UNIDOS;43872;R$ 703.415,22;MARES FILMES EIRELI;6418;07.257.887/0001-47
15/10/2015;WE ARE YOUR FRIENDS;E1500691500000;FICÇÃO;ESTADOS UNIDOS;2350;R$ 32.443,35;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;22724;17.095.184/0001-13
12/10/2015;MARY'S LAND - TIERRA DE MARIA;E1500682900000;DOCUMENTÁRIO;ESPANHA;68838;R$ 980.900,50;CINEMARK BRASIL S.A;1843;00.779.721/0001-41
